summonerName,summonerLevel,rank,wins,losses,winRate,kills,deaths,assists,prefLane,campsKilled,minionsKilled,goldEarned,turretTakedowns,visionScore,dragonKills,longestTimeSpentLiving,totalDamageDealt,totalDamageTaken,gameDuration,gameStart
Forbenn,1445,DIAMOND,15,10,0.6,1.56,4.72,15.44,SUPPORT,0.12,32.92,7883.0,1,64.36,0,570.04,26249.32,422255,25.804666666666662,13.373333333333331
zaiiche,616,DIAMOND,16,9,0.64,6.4,5.52,6.0,TOP,1.0,171.36,12440.96,2,13.56,0,538.68,135589.04,712282,27.32,17.873333333333335
Meta Morten,638,DIAMOND,15,10,0.6,9.64,5.12,8.0,JUNGLE,132.12,30.72,12767.12,1,29.52,1,552.8,216368.32,762518,27.423333333333336,19.62133333333333
Degdeekhei,298,DIAMOND,13,12,0.52,6.8,3.76,8.16,MIDDLE,14.52,207.28,12935.6,2,20.72,0,777.48,183001.68,603625,29.878666666666668,15.054666666666666
Juan Barba,433,DIAMOND,11,14,0.44,2.72,4.76,13.48,SUPPORT,1.16,62.2,9481.92,2,66.04,0,553.28,64842.72,581729,27.148666666666667,13.406
Insomniaaa,314,DIAMOND,14,11,0.56,10.2,5.32,8.08,JUNGLE,111.76,84.84,13586.96,1,17.04,0,615.96,228495.44,733912,27.122,14.091333333333331
why so obsessed,1199,DIAMOND,16,9,0.64,1.96,4.56,15.32,SUPPORT,0.6,17.52,8200.24,3,52.2,0,499.4,19701.32,382005,27.075333333333333,9.632666666666667
Senyousart,59,DIAMOND,17,8,0.68,10.64,7.52,6.6,JUNGLE,152.36,64.2,14807.96,3,16.6,1,464.36,268817.0,965036,28.02466666666667,14.099333333333334
Hypnøs,624,DIAMOND,16,9,0.64,6.2,5.48,5.04,TOP,4.04,193.68,12029.32,3,13.88,0,520.4,152069.84,712766,26.624666666666663,19.904666666666667
Squelerex,941,DIAMOND,14,11,0.56,5.28,5.24,5.84,TOP,6.0,211.4,12620.2,2,15.88,0,748.56,170098.24,767398,30.466,15.331333333333331
hangtime123,205,DIAMOND,13,12,0.52,9.04,7.84,11.88,JUNGLE,123.52,30.52,12774.8,1,23.84,1,472.4,200817.76,864916,26.799333333333333,13.966666666666669
Biotic2,383,DIAMOND,14,11,0.56,2.0,7.28,16.16,SUPPORT,0.16,30.24,8354.44,1,63.96,0,435.8,25607.68,487310,26.68533333333333,15.94
King Zurvan,277,DIAMOND,16,9,0.64,6.88,4.08,4.48,TOP,6.36,201.04,12601.96,4,16.12,0,679.96,160519.16,703097,25.9,15.378666666666668
DANGEROUS N00B,92,DIAMOND,18,7,0.72,7.24,4.2,6.24,MIDDLE,3.44,195.68,12335.04,2,21.8,0,645.0,150132.8,382784,28.498,11.311333333333332
MT1 Seltsam,754,DIAMOND,12,13,0.48,6.28,8.76,8.04,JUNGLE,131.6,29.6,11135.72,1,20.76,1,423.92,207246.52,913644,26.564,14.638
I S0ny I,417,DIAMOND,11,14,0.44,1.88,6.2,12.88,SUPPORT,0.16,28.64,7915.6,1,57.64,0,494.4,23351.44,456435,26.212,17.026666666666667
qwerrewq132,886,DIAMOND,15,10,0.6,8.92,8.16,11.76,TOP,2.52,143.72,13028.36,2,14.6,0,504.6,121901.56,733753,25.307333333333336,13.918666666666669
